year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,754,755,-1,1103,1030,33,WN,733,N789SW,LGA,DEN,279,1620,7,55,2013-01-01T12:00:00Z
2013,1,1,743,730,13,1059,1056,3,DL,495,N3760C,JFK,SEA,349,2422,7,30,2013-01-01T12:00:00Z
2013,1,1,611,600,11,945,931,14,UA,303,N532UA,JFK,SFO,366,2586,6,0,2013-01-01T11:00:00Z
2013,1,1,1026,1030,-4,1351,1340,11,AA,19,N328AA,JFK,LAX,356,2475,10,30,2013-01-01T15:00:00Z
2013,1,1,1716,1545,91,2140,2039,61,B6,703,N651JB,JFK,SJU,183,1598,15,45,2013-01-01T20:00:00Z
2013,1,1,1607,1443,84,1711,1553,78,UA,465,N435UA,EWR,BOS,35,200,14,43,2013-01-01T19:00:00Z
2013,1,1,1603,1600,3,1912,1906,6,UA,367,N820UA,EWR,FLL,162,1065,16,0,2013-01-01T21:00:00Z
2013,1,1,608,600,8,807,735,32,MQ,3768,N9EAMQ,EWR,ORD,139,719,6,0,2013-01-01T11:00:00Z
2013,1,1,1539,1530,9,1904,1910,-6,AA,85,N342AA,JFK,SFO,360,2586,15,30,2013-01-01T20:00:00Z
2013,1,1,914,900,14,1058,1043,15,UA,783,N810UA,EWR,CLE,85,404,9,0,2013-01-01T14:00:00Z
2013,1,1,2110,2020,50,2340,2245,55,MQ,4662,N532MQ,LGA,ATL,127,762,20,20,2013-01-02T01:00:00Z
2013,1,1,1642,1610,32,1944,1919,25,UA,1587,N17229,EWR,RSW,161,1068,16,10,2013-01-01T21:00:00Z
2013,1,1,933,935,-2,1120,1105,15,WN,3895,N487WN,LGA,MDW,145,725,9,35,2013-01-01T14:00:00Z
2013,1,1,1916,1920,-4,2053,2100,-7,AA,359,N3CUAA,LGA,ORD,136,733,19,20,2013-01-02T00:00:00Z
2013,1,1,1123,1110,13,1410,1336,34,UA,405,N587UA,LGA,DEN,256,1620,11,10,2013-01-01T16:00:00Z
2013,1,1,1056,1100,-4,1407,1413,-6,DL,2185,N917DL,LGA,TPA,158,1010,11,0,2013-01-01T16:00:00Z
2013,1,1,2250,2255,-5,2352,2359,-7,B6,1018,N521JB,JFK,BOS,37,187,22,55,2013-01-02T03:00:00Z
2013,1,1,1327,1329,-2,1624,1629,-5,UA,906,N847UA,EWR,FLL,157,1065,13,29,2013-01-01T18:00:00Z
2013,1,1,1125,1130,-5,1325,1332,-7,US,1085,N169UW,LGA,CLT,94,544,11,30,2013-01-01T16:00:00Z
2013,1,1,1010,1015,-5,1225,1214,11,US,1441,N712US,JFK,CLT,97,541,10,15,2013-01-01T15:00:00Z
2013,1,1,908,915,-7,1004,1033,-29,US,1467,N959UW,LGA,PHL,32,96,9,15,2013-01-01T14:00:00Z
2013,1,1,627,630,-3,1018,1018,0,US,27,N535UW,JFK,PHX,330,2153,6,30,2013-01-01T11:00:00Z
2013,1,1,517,515,2,830,819,11,UA,1545,N14228,EWR,IAH,227,1400,5,15,2013-01-01T10:00:00Z
2013,1,1,1203,1205,-2,1501,1437,24,EV,3850,N13978,EWR,ATL,142,746,12,5,2013-01-01T17:00:00Z
2013,1,1,1711,1635,36,1918,1845,33,B6,1085,N228JB,JFK,CLT,112,541,16,35,2013-01-01T21:00:00Z
2013,1,1,1350,1329,21,1504,1453,11,EV,4254,N14542,EWR,BUF,57,282,13,29,2013-01-01T18:00:00Z
2013,1,1,1342,1320,22,1617,1504,73,EV,3832,N13969,EWR,STL,194,872,13,20,2013-01-01T18:00:00Z
2013,1,1,1459,1454,5,1750,1751,-1,UA,1105,N75435,EWR,TPA,152,997,14,54,2013-01-01T19:00:00Z
2013,1,1,1355,1315,40,1538,1452,46,EV,4552,N13958,EWR,GSO,86,445,13,15,2013-01-01T18:00:00Z
2013,1,2,1626,1630,-4,1935,2003,-28,DL,1043,N3745B,JFK,SEA,323,2422,16,30,2013-01-02T21:00:00Z
2013,1,2,1519,1505,14,1852,1820,32,AA,759,N3FYAA,LGA,DFW,230,1389,15,5,2013-01-02T20:00:00Z
2013,1,2,1715,1700,15,1916,1840,36,MQ,4323,N600MQ,JFK,ORF,55,290,17,0,2013-01-02T22:00:00Z
2013,1,2,1604,1600,4,1937,1933,4,DL,1411,N918DL,JFK,FLL,165,1069,16,0,2013-01-02T21:00:00Z
2013,1,2,1918,1925,-7,2200,2205,-5,DL,1715,N335NB,LGA,MSY,197,1183,19,25,2013-01-03T00:00:00Z
2013,1,2,NA,1620,NA,NA,1746,NA,EV,4406,N13949,EWR,PIT,NA,319,16,20,2013-01-02T21:00:00Z
2013,1,2,1205,1129,36,1316,1239,37,EV,4479,N13903,EWR,PWM,50,284,11,29,2013-01-02T16:00:00Z
2013,1,2,1249,1258,-9,1535,1610,-35,B6,209,N658JB,JFK,LGB,333,2465,12,58,2013-01-02T17:00:00Z
2013,1,2,808,815,-7,1020,1016,4,US,675,N656AW,EWR,CLT,107,529,8,15,2013-01-02T13:00:00Z
2013,1,2,656,705,-9,1014,940,34,MQ,4534,N719MQ,LGA,XNA,233,1147,7,5,2013-01-02T12:00:00Z
2013,1,2,622,630,-8,820,830,-10,MQ,4599,N6EAMQ,LGA,MSP,159,1020,6,30,2013-01-02T11:00:00Z
2013,1,2,1234,1225,9,1354,1348,6,B6,66,N304JB,JFK,BUF,63,301,12,25,2013-01-02T17:00:00Z
2013,1,2,1754,1639,75,1936,1816,80,EV,4702,N12567,EWR,GSO,83,445,16,39,2013-01-02T21:00:00Z
2013,1,2,1352,1355,-3,1635,1709,-34,B6,83,N712JB,JFK,SEA,323,2422,13,55,2013-01-02T18:00:00Z
2013,1,2,600,600,0,814,749,25,EV,4334,N13914,EWR,CMH,98,463,6,0,2013-01-02T11:00:00Z
2013,1,2,1721,1659,22,2003,1942,21,DL,1499,N6707A,LGA,ATL,129,762,16,59,2013-01-02T21:00:00Z
2013,1,2,1801,1655,66,1932,1843,49,9E,3925,N839AY,JFK,PIT,64,340,16,55,2013-01-02T21:00:00Z
2013,1,2,2025,2030,-5,2305,2258,7,B6,115,N353JB,JFK,MSY,198,1182,20,30,2013-01-03T01:00:00Z
2013,1,2,1526,1530,-4,1729,1737,-8,US,1665,N751UW,LGA,CLT,94,544,15,30,2013-01-02T20:00:00Z
2013,1,2,910,858,12,1114,1105,9,US,1429,N747UW,LGA,CLT,100,544,8,58,2013-01-02T13:00:00Z
2013,1,2,1251,1250,1,1552,1603,-11,UA,633,N514UA,LGA,IAH,225,1416,12,50,2013-01-02T17:00:00Z
2013,1,2,2141,2145,-4,2301,2311,-10,B6,104,N304JB,JFK,BUF,63,301,21,45,2013-01-03T02:00:00Z
2013,1,2,1513,1517,-4,1814,1811,3,B6,537,N645JB,EWR,TPA,161,997,15,17,2013-01-02T20:00:00Z
2013,1,2,1003,820,103,1105,940,85,9E,3694,N8968E,JFK,BWI,39,184,8,20,2013-01-02T13:00:00Z
